[c],name,start,stop,
csiro:A000651,CSIRO Division of Dairy Research,2/07/1962,31/12/1971,
csiro:A000650,CSIRO Division of Economic Entomology,1/01/1928,31/12/1949,
csiro:A000573,CSIRO Division of Electrotechnology,1/01/1945,31/12/1962,
csiro:A000761,CSIRO Division of Energy Chemistry,1/09/1981,31/12/1987,
csiro:A000759,CSIRO Division of Energy Technology,1/01/1981,30/06/1990,
csiro:A000756,CSIRO Division of Environmental Mechanics,1/07/1971,31/12/1997,
csiro:A000782,CSIRO Division of Exploration and Geoscience,1/01/1988,31/12/1993,
csiro:A000659,CSIRO Division of Fisheries,1/01/1939,1/01/1956,
csiro:A000663,CSIRO Division of Fisheries,1/01/1988,1/02/1997,
csiro:A000660,CSIRO Division of Fisheries and Oceanography,1/01/1956,31/12/1981,
csiro:A000661,CSIRO Division of Fisheries Research,1/07/1981,1/01/1988,
csiro:A000652,CSIRO Division of Food Preservation,2/07/1962,24/01/1971,
csiro:A000576,CSIRO Division of Food Preservation and Transport,1/01/1940,30/06/1960,
csiro:A000628,CSIRO Division of Food Processing,1/01/1988,31/12/1992,
csiro:A000577,CSIRO Division of Food Research,1/01/1971,31/12/1988,
csiro:A000709,CSIRO Division of Food Science and Technology,31/12/1992,31/12/1997,
csiro:A000579,CSIRO Division of Forest Products (mark I),5/07/1928,24/05/1971,
csiro:A001685,CSIRO Division of Forest Products (mark II),1/01/1990,31/12/1995,
csiro:A000580,CSIRO Division of Forest Research,1/01/1975,31/12/1987,
csiro:A001684,CSIRO Division of Forestry,1/01/1991,31/12/1995,
csiro:A000635,CSIRO Division of Forestry and Forest Products (mark I),1/01/1988,31/12/1990,
csiro:A001686,CSIRO Division of Forestry and Forest Products (mark II),1/01/1995,31/12/2007,
csiro:A000581,CSIRO Division of Fossil Fuels,1/01/1980,31/12/1987,
csiro:A000758,CSIRO Division of Fuel Technology,1/01/1988,30/06/1990,
csiro:A000786,CSIRO Division of Geomechanics,1/07/1983,30/06/1993,
csiro:A000673,CSIRO Division of Groundwater Research,1/01/1982,31/12/1986,
csiro:A000751,CSIRO Division of Health Sciences and Nutrition,1/01/1996,1/07/2005,
csiro:A000794,CSIRO Division of Horticultural Research,28/08/1967,31/12/1988,
csiro:A000795,CSIRO Division of Horticulture,1/01/1988,31/12/1997,
csiro:A000728,CSIRO Division of Human Nutrition,1/01/1975,31/12/1996,
csiro:A000578,CSIRO Division of Industrial Chemistry,1/07/1940,8/10/1958,
csiro:A000771,CSIRO Division of Irrigation Research,28/08/1967,31/12/1982,
